Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
60,0111100,0111100,3,0,48,11110-,0---,~,281474976710656,7.4x3Cp
61,0111101,0111101,3,0,56,11110-,1---,~,72057594037927936,7.4x3Dp
62,0111110,0111110,4,0,64,111110,----,~,18446744073709551616,7.4x3Ep
63,0111111,0111111,5,0,80,111111,----,~,1.208925819614629174706e+24,7.4x3Fp
64,1000000,1000000,6,1,-80,000000,----,~,nar,7.4x40p
65,1000001,1111111,5,1,80,111111,----,~,-1.208925819614629174706e+24,7.4x41p
66,1000010,1111110,4,1,64,111110,----,~,-18446744073709551616,7.4x42p
67,1000011,1111101,3,1,56,11110-,1---,~,-72057594037927936,7.4x43p
68,1000100,1111100,3,1,48,11110-,0---,~,-281474976710656,7.4x44p
69,1000101,1111011,2,1,44,1110--,11--,~,-17592186044416,7.4x45p
70,1000110,1111010,2,1,40,1110--,10--,~,-1099511627776,7.4x46p
71,1000111,1111001,2,1,36,1110--,01--,~,-68719476736,7.4x47p
72,1001000,1111000,2,1,32,1110--,00--,~,-4294967296,7.4x48p
73,1001001,1110111,1,1,30,110---,111-,~,-1073741824,7.4x49p
74,1001010,1110110,1,1,28,110---,110-,~,-268435456,7.4x4Ap
75,1001011,1110101,1,1,26,110---,101-,~,-67108864,7.4x4Bp
76,1001100,1110100,1,1,24,110---,100-,~,-16777216,7.4x4Cp
77,1001101,1110011,1,1,22,110---,011-,~,-4194304,7.4x4Dp
78,1001110,1110010,1,1,20,110---,010-,~,-1048576,7.4x4Ep
79,1001111,1110001,1,1,18,110---,001-,~,-262144,7.4x4Fp
80,1010000,1110000,1,1,16,110---,000-,~,-65536,7.4x50p
81,1010001,1101111,0,1,15,10----,1111,~,-32768,7.4x51p
82,1010010,1101110,0,1,14,10----,1110,~,-16384,7.4x52p
83,1010011,1101101,0,1,13,10----,1101,~,-8192,7.4x53p
84,1010100,1101100,0,1,12,10----,1100,~,-4096,7.4x54p
85,1010101,1101011,0,1,11,10----,1011,~,-2048,7.4x55p
86,1010110,1101010,0,1,10,10----,1010,~,-1024,7.4x56p
87,1010111,1101001,0,1,9,10----,1001,~,-512,7.4x57p
88,1011000,1101000,0,1,8,10----,1000,~,-256,7.4x58p
89,1011001,1100111,0,1,7,10----,0111,~,-128,7.4x59p
90,1011010,1100110,0,1,6,10----,0110,~,-64,7.4x5Ap
91,1011011,1100101,0,1,5,10----,0101,~,-32,7.4x5Bp
92,1011100,1100100,0,1,4,10----,0100,~,-16,7.4x5Cp
93,1011101,1100011,0,1,3,10----,0011,~,-8,7.4x5Dp
94,1011110,1100010,0,1,2,10----,0010,~,-4,7.4x5Ep
95,1011111,1100001,0,1,1,10----,0001,~,-2,7.4x5Fp
96,1100000,1100000,0,1,0,10----,0000,~,-1,7.4x60p
97,1100001,1011111,-1,1,-1,01----,1111,~,-0.5,7.4x61p
98,1100010,1011110,-1,1,-2,01----,1110,~,-0.25,7.4x62p
99,1100011,1011101,-1,1,-3,01----,1101,~,-0.125,7.4x63p
100,1100100,1011100,-1,1,-4,01----,1100,~,-0.0625,7.4x64p
101,1100101,1011011,-1,1,-5,01----,1011,~,-0.03125,7.4x65p
102,1100110,1011010,-1,1,-6,01----,1010,~,-0.015625,7.4x66p
103,1100111,1011001,-1,1,-7,01----,1001,~,-0.0078125,7.4x67p
104,1101000,1011000,-1,1,-8,01----,1000,~,-0.00390625,7.4x68p
105,1101001,1010111,-1,1,-9,01----,0111,~,-0.001953125,7.4x69p
106,1101010,1010110,-1,1,-10,01----,0110,~,-0.0009765625,7.4x6Ap
107,1101011,1010101,-1,1,-11,01----,0101,~,-0.00048828125,7.4x6Bp
108,1101100,1010100,-1,1,-12,01----,0100,~,-0.000244140625,7.4x6Cp
109,1101101,1010011,-1,1,-13,01----,0011,~,-0.0001220703125,7.4x6Dp
110,1101110,1010010,-1,1,-14,01----,0010,~,-6.103515625e-05,7.4x6Ep
111,1101111,1010001,-1,1,-15,01----,0001,~,-3.0517578125e-05,7.4x6Fp
112,1110000,1010000,-1,1,-16,01----,0000,~,-1.52587890625e-05,7.4x70p
113,1110001,1001111,-2,1,-18,001---,111-,~,-3.814697265625e-06,7.4x71p
114,1110010,1001110,-2,1,-20,001---,110-,~,-9.5367431640625e-07,7.4x72p
115,1110011,1001101,-2,1,-22,001---,101-,~,-2.384185791015625e-07,7.4x73p
116,1110100,1001100,-2,1,-24,001---,100-,~,-5.9604644775390625e-08,7.4x74p
117,1110101,1001011,-2,1,-26,001---,011-,~,-1.490116119384765625e-08,7.4x75p
118,1110110,1001010,-2,1,-28,001---,010-,~,-3.7252902984619140625e-09,7.4x76p
119,1110111,1001001,-2,1,-30,001---,001-,~,-9.31322574615478515625e-10,7.4x77p
120,1111000,1001000,-2,1,-32,001---,000-,~,-2.328306436538696289063e-10,7.4x78p
121,1111001,1000111,-3,1,-36,0001--,11--,~,-1.455191522836685180664e-11,7.4x79p
122,1111010,1000110,-3,1,-40,0001--,10--,~,-9.09494701772928237915e-13,7.4x7Ap
123,1111011,1000101,-3,1,-44,0001--,01--,~,-5.684341886080801486969e-14,7.4x7Bp
124,1111100,1000100,-3,1,-48,0001--,00--,~,-3.552713678800500929356e-15,7.4x7Cp
125,1111101,1000011,-4,1,-56,00001-,1---,~,-1.38777878078144567553e-17,7.4x7Dp
126,1111110,1000010,-4,1,-64,00001-,0---,~,-5.421010862427522170037e-20,7.4x7Ep
127,1111111,1000001,-5,1,-80,000001,----,~,-8.271806125530276748714e-25,7.4x7Fp

"Generate Posit Lookup table for a POSIT<8,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000000,00000000,-7,0,-6,0000000,~,-----,0,8.0x00p
1,00000001,00000001,-6,0,-6,0000001,~,-----,0.015625,8.0x01p
2,00000010,00000010,-5,0,-5,000001-,~,0----,0.03125,8.0x02p
3,00000011,00000011,-5,0,-5,000001-,~,1----,0.046875,8.0x03p
4,00000100,00000100,-4,0,-4,00001--,~,00---,0.0625,8.0x04p
5,00000101,00000101,-4,0,-4,00001--,~,01---,0.078125,8.0x05p
6,00000110,00000110,-4,0,-4,00001--,~,10---,0.09375,8.0x06p
7,00000111,00000111,-4,0,-4,00001--,~,11---,0.109375,8.0x07p
8,00001000,00001000,-3,0,-3,0001---,~,000--,0.125,8.0x08p
9,00001001,00001001,-3,0,-3,0001---,~,001--,0.140625,8.0x09p
10,00001010,00001010,-3,0,-3,0001---,~,010--,0.15625,8.0x0Ap
11,00001011,00001011,-3,0,-3,0001---,~,011--,0.171875,8.0x0Bp
12,00001100,00001100,-3,0,-3,0001---,~,100--,0.1875,8.0x0Cp
13,00001101,00001101,-3,0,-3,0001---,~,101--,0.203125,8.0x0Dp
14,00001110,00001110,-3,0,-3,0001---,~,110--,0.21875,8.0x0Ep
15,00001111,00001111,-3,0,-3,0001---,~,111--,0.234375,8.0x0Fp
16,00010000,00010000,-2,0,-2,001----,~,0000-,0.25,8.0x10p
17,00010001,00010001,-2,0,-2,001----,~,0001-,0.265625,8.0x11p
18,00010010,00010010,-2,0,-2,001----,~,0010-,0.28125,8.0x12p
19,00010011,00010011,-2,0,-2,001----,~,0011-,0.296875,8.0x13p
20,00010100,00010100,-2,0,-2,001----,~,0100-,0.3125,8.0x14p
21,00010101,00010101,-2,0,-2,001----,~,0101-,0.328125,8.0x15p
22,00010110,00010110,-2,0,-2,001----,~,0110-,0.34375,8.0x16p
23,00010111,00010111,-2,0,-2,001----,~,0111-,0.359375,8.0x17p
24,00011000,00011000,-2,0,-2,001----,~,1000-,0.375,8.0x18p
25,00011001,00011001,-2,0,-2,001----,~,1001-,0.390625,8.0x19p
26,00011010,00011010,-2,0,-2,001----,~,1010-,0.40625,8.0x1Ap
27,00011011,00011011,-2,0,-2,001----,~,1011-,0.421875,8.0x1Bp
28,00011100,00011100,-2,0,-2,001----,~,1100-,0.4375,8.0x1Cp
29,00011101,00011101,-2,0,-2,001----,~,1101-,0.453125,8.0x1Dp
30,00011110,00011110,-2,0,-2,001----,~,1110-,0.46875,8.0x1Ep
31,00011111,00011111,-2,0,-2,001----,~,1111-,0.484375,8.0x1Fp
32,00100000,00100000,-1,0,-1,01-----,~,00000,0.5,8.0x20p
33,00100001,00100001,-1,0,-1,01-----,~,00001,0.515625,8.0x21p
34,00100010,00100010,-1,0,-1,01-----,~,00010,0.53125,8.0x22p
35,00100011,00100011,-1,0,-1,01-----,~,00011,0.546875,8.0x23p
36,00100100,00100100,-1,0,-1,01-----,~,00100,0.5625,8.0x24p
37,00100101,00100101,-1,0,-1,01-----,~,00101,0.578125,8.0x25p
38,00100110,00100110,-1,0,-1,01-----,~,00110,0.59375,8.0x26p
39,00100111,00100111,-1,0,-1,01-----,~,00111,0.609375,8.0x27p
40,00101000,00101000,-1,0,-1,01-----,~,01000,0.625,8.0x28p
41,00101001,00101001,-1,0,-1,01-----,~,01001,0.640625,8.0x29p
42,00101010,00101010,-1,0,-1,01-----,~,01010,0.65625,8.0x2Ap
43,00101011,00101011,-1,0,-1,01-----,~,01011,0.671875,8.0x2Bp
44,00101100,00101100,-1,0,-1,01-----,~,01100,0.6875,8.0x2Cp
45,00101101,00101101,-1,0,-1,01-----,~,01101,0.703125,8.0x2Dp
46,00101110,00101110,-1,0,-1,01-----,~,01110,0.71875,8.0x2Ep
47,00101111,00101111,-1,0,-1,01-----,~,01111,0.734375,8.0x2Fp
48,00110000,00110000,-1,0,-1,01-----,~,10000,0.75,8.0x30p
49,00110001,00110001,-1,0,-1,01-----,~,10001,0.765625,8.0x31p
50,00110010,00110010,-1,0,-1,01-----,~,10010,0.78125,8.0x32p
51,00110011,00110011,-1,0,-1,01-----,~,10011,0.796875,8.0x33p
52,00110100,00110100,-1,0,-1,01-----,~,10100,0.8125,8.0x34p
53,00110101,00110101,-1,0,-1,01-----,~,10101,0.828125,8.0x35p
54,00110110,00110110,-1,0,-1,01-----,~,10110,0.84375,8.0x36p
55,00110111,00110111,-1,0,-1,01-----,~,10111,0.859375,8.0x37p
56,00111000,00111000,-1,0,-1,01-----,~,11000,0.875,8.0x38p
57,00111001,00111001,-1,0,-1,01-----,~,11001,0.890625,8.0x39p
58,00111010,00111010,-1,0,-1,01-----,~,11010,0.90625,8.0x3Ap
59,00111011,00111011,-1,0,-1,01-----,~,11011,0.921875,8.0x3Bp
60,00111100,00111100,-1,0,-1,01-----,~,11100,0.9375,8.0x3Cp
61,00111101,00111101,-1,0,-1,01-----,~,11101,0.953125,8.0x3Dp
62,00111110,00111110,-1,0,-1,01-----,~,11110,0.96875,8.0x3Ep
63,00111111,00111111,-1,0,-1,01-----,~,11111,0.984375,8.0x3Fp
64,01000000,01000000,0,0,0,10-----,~,00000,1,8.0x40p
65,01000001,01000001,0,0,0,10-----,~,00001,1.03125,8.0x41p
66,01000010,01000010,0,0,0,10-----,~,00010,1.0625,8.0x42p
67,01000011,01000011,0,0,0,10-----,~,00011,1.09375,8.0x43p
68,01000100,01000100,0,0,0,10-----,~,00100,1.125,8.0x44p
69,01000101,01000101,0,0,0,10-----,~,00101,1.15625,8.0x45p
70,01000110,01000110,0,0,0,10-----,~,00110,1.1875,8.0x46p
71,01000111,01000111,0,0,0,10-----,~,00111,1.21875,8.0x47p
72,01001000,01001000,0,0,0,10-----,~,01000,1.25,8.0x48p
73,01001001,01001001,0,0,0,10-----,~,01001,1.28125,8.0x49p
74,01001010,01001010,0,0,0,10-----,~,01010,1.3125,8.0x4Ap
75,01001011,01001011,0,0,0,10-----,~,01011,1.34375,8.0x4Bp
76,01001100,01001100,0,0,0,10-----,~,01100,1.375,8.0x4Cp
77,01001101,01001101,0,0,0,10-----,~,01101,1.40625,8.0x4Dp
78,01001110,01001110,0,0,0,10-----,~,01110,1.4375,8.0x4Ep
79,01001111,01001111,0,0,0,10-----,~,01111,1.46875,8.0x4Fp
80,01010000,01010000,0,0,0,10-----,~,10000,1.5,8.0x50p
81,01010001,01010001,0,0,0,10-----,~,10001,1.53125,8.0x51p
82,01010010,01010010,0,0,0,10-----,~,10010,1.5625,8.0x52p
83,01010011,01010011,0,0,0,10-----,~,10011,1.59375,8.0x53p
84,01010100,01010100,0,0,0,10-----,~,10100,1.625,8.0x54p
85,01010101,01010101,0,0,0,10-----,~,10101,1.65625,8.0x55p
86,01010110,01010110,0,0,0,10-----,~,10110,1.6875,8.0x56p
87,01010111,01010111,0,0,0,10-----,~,10111,1.71875,8.0x57p
88,01011000,01011000,0,0,0,10-----,~,11000,1.75,8.0x58p
89,01011001,01011001,0,0,0,10-----,~,11001,1.78125,8.0x59p
90,01011010,01011010,0,0,0,10-----,~,11010,1.8125,8.0x5Ap
91,01011011,01011011,0,0,0,10-----,~,11011,1.84375,8.0x5Bp
92,01011100,01011100,0,0,0,10-----,~,11100,1.875,8.0x5Cp
93,01011101,01011101,0,0,0,10-----,~,11101,1.90625,8.0x5Dp
94,01011110,01011110,0,0,0,10-----,~,11110,1.9375,8.0x5Ep
95,01011111,01011111,0,0,0,10-----,~,11111,1.96875,8.0x5Fp
96,01100000,01100000,1,0,1,110----,~,0000-,2,8.0x60p
97,01100001,01100001,1,0,1,110----,~,0001-,2.125,8.0x61p
98,01100010,01100010,1,0,1,110----,~,0010-,2.25,8.0x62p
99,01100011,01100011,1,0,1,110----,~,0011-,2.375,8.0x63p
100,01100100,01100100,1,0,1,110----,~,0100-,2.5,8.0x64p
101,01100101,01100101,1,0,1,110----,~,0101-,2.625,8.0x65p
102,01100110,01100110,1,0,1,110----,~,0110-,2.75,8.0x66p
103,01100111,01100111,1,0,1,110----,~,0111-,2.875,8.0x67p
104,01101000,01101000,1,0,1,110----,~,1000-,3,8.0x68p
105,01101001,01101001,1,0,1,110----,~,1001-,3.125,8.0x69p
106,01101010,01101010,1,0,1,110----,~,1010-,3.25,8.0x6Ap
107,01101011,01101011,1,0,1,110----,~,1011-,3.375,8.0x6Bp
108,01101100,01101100,1,0,1,110----,~,1100-,3.5,8.0x6Cp
109,01101101,01101101,1,0,1,110----,~,1101-,3.625,8.0x6Dp
110,01101110,01101110,1,0,1,110----,~,1110-,3.75,8.0x6Ep
111,01101111,01101111,1,0,1,110----,~,1111-,3.875,8.0x6Fp
112,01110000,01110000,2,0,2,1110---,~,000--,4,8.0x70p
113,01110001,01110001,2,0,2,1110---,~,001--,4.5,8.0x71p
114,01110010,01110010,2,0,2,1110---,~,010--,5,8.0x72p
115,01110011,01110011,2,0,2,1110---,~,011--,5.5,8.0x73p
116,01110100,01110100,2,0,2,1110---,~,100--,6,8.0x74p
117,01110101,01110101,2,0,2,1110---,~,101--,6.5,8.0x75p
118,01110110,01110110,2,0,2,1110---,~,110--,7,8.0x76p
119,01110111,01110111,2,0,2,1110---,~,111--,7.5,8.0x77p
120,01111000,01111000,3,0,3,11110--,~,00---,8,8.0x78p
121,01111001,01111001,3,0,3,11110--,~,01---,10,8.0x79p
122,01111010,01111010,3,0,3,11110--,~,10---,12,8.0x7Ap
123,01111011,01111011,3,0,3,11110--,~,11---,14,8.0x7Bp
124,01111100,01111100,4,0,4,111110-,~,0----,16,8.0x7Cp
125,01111101,01111101,4,0,4,111110-,~,1----,24,8.0x7Dp
126,01111110,01111110,5,0,5,1111110,~,-----,32,8.0x7Ep
127,01111111,01111111,6,0,6,1111111,~,-----,64,8.0x7Fp
128,10000000,10000000,7,1,-6,0000000,~,-----,nar,8.0x80p
129,10000001,11111111,6,1,6,1111111,~,-----,-64,8.0x81p
130,10000010,11111110,5,1,5,1111110,~,-----,-32,8.0x82p
131,10000011,11111101,4,1,4,111110-,~,1----,-24,8.0x83p
132,10000100,11111100,4,1,4,111110-,~,0----,-16,8.0x84p
133,10000101,11111011,3,1,3,11110--,~,11---,-14,8.0x85p
134,10000110,11111010,3,1,3,11110--,~,10---,-12,8.0x86p
135,10000111,11111001,3,1,3,11110--,~,01---,-10,8.0x87p
136,10001000,11111000,3,1,3,11110--,~,00---,-8,8.0x88p
137,10001001,11110111,2,1,2,1110---,~,111--,-7.5,8.0x89p
138,10001010,11110110,2,1,2,1110---,~,110--,-7,8.0x8Ap
139,10001011,11110101,2,1,2,1110---,~,101--,-6.5,8.0x8Bp
140,10001100,11110100,2,1,2,1110---,~,100--,-6,8.0x8Cp
141,10001101,11110011,2,1,2,1110---,~,011--,-5.5,8.0x8Dp
142,10001110,11110010,2,1,2,1110---,~,010--,-5,8.0x8Ep
143,10001111,11110001,2,1,2,1110---,~,001--,-4.5,8.0x8Fp
144,10010000,11110000,2,1,2,1110---,~,000--,-4,8.0x90p
145,10010001,11101111,1,1,1,110----,~,1111-,-3.875,8.0x91p
146,10010010,11101110,1,1,1,110----,~,1110-,-3.75,8.0x92p
147,10010011,11101101,1,1,1,110----,~,1101-,-3.625,8.0x93p
148,10010100,11101100,1,1,1,110----,~,1100-,-3.5,8.0x94p
149,10010101,11101011,1,1,1,110----,~,1011-,-3.375,8.0x95p
150,10010110,11101010,1,1,1,110----,~,1010-,-3.25,8.0x96p
151,10010111,11101001,1,1,1,110----,~,1001-,-3.125,8.0x97p
152,10011000,11101000,1,1,1,110----,~,1000-,-3,8.0x98p
153,10011001,11100111,1,1,1,110----,~,0111-,-2.875,8.0x99p
154,10011010,11100110,1,1,1,110----,~,0110-,-2.75,8.0x9Ap
155,10011011,11100101,1,1,1,110----,~,0101-,-2.625,8.0x9Bp
156,10011100,11100100,1,1,1,110----,~,0100-,-2.5,8.0x9Cp
157,10011101,11100011,1,1,1,110----,~,0011-,-2.375,8.0x9Dp
158,10011110,11100010,1,1,1,110----,~,0010-,-2.25,8.0x9Ep
159,10011111,11100001,1,1,1,110----,~,0001-,-2.125,8.0x9Fp
160,10100000,11100000,1,1,1,110----,~,0000-,-2,8.0xA0p
161,10100001,11011111,0,1,0,10-----,~,11111,-1.96875,8.0xA1p
162,10100010,11011110,0,1,0,10-----,~,11110,-1.9375,8.0xA2p
163,10100011,11011101,0,1,0,10-----,~,11101,-1.90625,8.0xA3p
164,10100100,11011100,0,1,0,10-----,~,11100,-1.875,8.0xA4p
165,10100101,11011011,0,1,0,10-----,~,11011,-1.84375,8.0xA5p
166,10100110,11011010,0,1,0,10-----,~,11010,-1.8125,8.0xA6p
167,10100111,11011001,0,1,0,10-----,~,11001,-1.78125,8.0xA7p
168,10101000,11011000,0,1,0,10-----,~,11000,-1.75,8.0xA8p
169,10101001,11010111,0,1,0,10-----,~,10111,-1.71875,8.0xA9p
170,10101010,11010110,0,1,0,10-----,~,10110,-1.6875,8.0xAAp
171,10101011,11010101,0,1,0,10-----,~,10101,-1.65625,8.0xABp
172,10101100,11010100,0,1,0,10-----,~,10100,-1.625,8.0xACp
173,10101101,11010011,0,1,0,10-----,~,10011,-1.59375,8.0xADp
174,10101110,11010010,0,1,0,10-----,~,10010,-1.5625,8.0xAEp
175,10101111,11010001,0,1,0,10-----,~,10001,-1.53125,8.0xAFp
176,10110000,11010000,0,1,0,10-----,~,10000,-1.5,8.0xB0p
177,10110001,11001111,0,1,0,10-----,~,01111,-1.46875,8.0xB1p
178,10110010,11001110,0,1,0,10-----,~,01110,-1.4375,8.0xB2p
179,10110011,11001101,0,1,0,10-----,~,01101,-1.40625,8.0xB3p
180,10110100,11001100,0,1,0,10-----,~,01100,-1.375,8.0xB4p
181,10110101,11001011,0,1,0,10-----,~,01011,-1.34375,8.0xB5p
182,10110110,11001010,0,1,0,10-----,~,01010,-1.3125,8.0xB6p
183,10110111,11001001,0,1,0,10-----,~,01001,-1.28125,8.0xB7p
184,10111000,11001000,0,1,0,10-----,~,01000,-1.25,8.0xB8p
185,10111001,11000111,0,1,0,10-----,~,00111,-1.21875,8.0xB9p
186,10111010,11000110,0,1,0,10-----,~,00110,-1.1875,8.0xBAp
187,10111011,11000101,0,1,0,10-----,~,00101,-1.15625,8.0xBBp
188,10111100,11000100,0,1,0,10-----,~,00100,-1.125,8.0xBCp
189,10111101,11000011,0,1,0,10-----,~,00011,-1.09375,8.0xBDp
190,10111110,11000010,0,1,0,10-----,~,00010,-1.0625,8.0xBEp
191,10111111,11000001,0,1,0,10-----,~,00001,-1.03125,8.0xBFp
192,11000000,11000000,0,1,0,10-----,~,00000,-1,8.0xC0p
193,11000001,10111111,-1,1,-1,01-----,~,11111,-0.984375,8.0xC1p
194,11000010,10111110,-1,1,-1,01-----,~,11110,-0.96875,8.0xC2p
195,11000011,10111101,-1,1,-1,01-----,~,11101,-0.953125,8.0xC3p
196,11000100,10111100,-1,1,-1,01-----,~,11100,-0.9375,8.0xC4p
197,11000101,10111011,-1,1,-1,01-----,~,11011,-0.921875,8.0xC5p
198,11000110,10111010,-1,1,-1,01-----,~,11010,-0.90625,8.0xC6p
199,11000111,10111001,-1,1,-1,01-----,~,11001,-0.890625,8.0xC7p
200,11001000,10111000,-1,1,-1,01-----,~,11000,-0.875,8.0xC8p
201,11001001,10110111,-1,1,-1,01-----,~,10111,-0.859375,8.0xC9p
202,11001010,10110110,-1,1,-1,01-----,~,10110,-0.84375,8.0xCAp
203,11001011,10110101,-1,1,-1,01-----,~,10101,-0.828125,8.0xCBp
204,11001100,10110100,-1,1,-1,01-----,~,10100,-0.8125,8.0xCCp
205,11001101,10110011,-1,1,-1,01-----,~,10011,-0.796875,8.0xCDp
206,11001110,10110010,-1,1,-1,01-----,~,10010,-0.78125,8.0xCEp
207,11001111,10110001,-1,1,-1,01-----,~,10001,-0.765625,8.0xCFp
208,11010000,10110000,-1,1,-1,01-----,~,10000,-0.75,8.0xD0p
209,11010001,10101111,-1,1,-1,01-----,~,01111,-0.734375,8.0xD1p
210,11010010,10101110,-1,1,-1,01-----,~,01110,-0.71875,8.0xD2p
211,11010011,10101101,-1,1,-1,01-----,~,01101,-0.703125,8.0xD3p
212,11010100,10101100,-1,1,-1,01-----,~,01100,-0.6875,8.0xD4p
213,11010101,10101011,-1,1,-1,01-----,~,01011,-0.671875,8.0xD5p
214,11010110,10101010,-1,1,-1,01-----,~,01010,-0.65625,8.0xD6p
215,11010111,10101001,-1,1,-1,01-----,~,01001,-0.640625,8.0xD7p
216,11011000,10101000,-1,1,-1,01-----,~,01000,-0.625,8.0xD8p
217,11011001,10100111,-1,1,-1,01-----,~,00111,-0.609375,8.0xD9p
218,11011010,10100110,-1,1,-1,01-----,~,00110,-0.59375,8.0xDAp
219,11011011,10100101,-1,1,-1,01-----,~,00101,-0.578125,8.0xDBp
220,11011100,10100100,-1,1,-1,01-----,~,00100,-0.5625,8.0xDCp
221,11011101,10100011,-1,1,-1,01-----,~,00011,-0.546875,8.0xDDp
222,11011110,10100010,-1,1,-1,01-----,~,00010,-0.53125,8.0xDEp
223,11011111,10100001,-1,1,-1,01-----,~,00001,-0.515625,8.0xDFp
224,11100000,10100000,-1,1,-1,01-----,~,00000,-0.5,8.0xE0p
225,11100001,10011111,-2,1,-2,001----,~,1111-,-0.484375,8.0xE1p
226,11100010,10011110,-2,1,-2,001----,~,1110-,-0.46875,8.0xE2p
227,11100011,10011101,-2,1,-2,001----,~,1101-,-0.453125,8.0xE3p
228,11100100,10011100,-2,1,-2,001----,~,1100-,-0.4375,8.0xE4p
229,11100101,10011011,-2,1,-2,001----,~,1011-,-0.421875,8.0xE5p
230,11100110,10011010,-2,1,-2,001----,~,1010-,-0.40625,8.0xE6p
231,11100111,10011001,-2,1,-2,001----,~,1001-,-0.390625,8.0xE7p
232,11101000,10011000,-2,1,-2,001----,~,1000-,-0.375,8.0xE8p
233,11101001,10010111,-2,1,-2,001----,~,0111-,-0.359375,8.0xE9p
234,11101010,10010110,-2,1,-2,001----,~,0110-,-0.34375,8.0xEAp
235,11101011,10010101,-2,1,-2,001----,~,0101-,-0.328125,8.0xEBp
236,11101100,10010100,-2,1,-2,001----,~,0100-,-0.3125,8.0xECp
237,11101101,10010011,-2,1,-2,001----,~,0011-,-0.296875,8.0xEDp
238,11101110,10010010,-2,1,-2,001----,~,0010-,-0.28125,8.0xEEp
239,11101111,10010001,-2,1,-2,001----,~,0001-,-0.265625,8.0xEFp
240,11110000,10010000,-2,1,-2,001----,~,0000-,-0.25,8.0xF0p
241,11110001,10001111,-3,1,-3,0001---,~,111--,-0.234375,8.0xF1p
242,11110010,10001110,-3,1,-3,0001---,~,110--,-0.21875,8.0xF2p
243,11110011,10001101,-3,1,-3,0001---,~,101--,-0.203125,8.0xF3p
244,11110100,10001100,-3,1,-3,0001---,~,100--,-0.1875,8.0xF4p
245,11110101,10001011,-3,1,-3,0001---,~,011--,-0.171875,8.0xF5p
246,11110110,10001010,-3,1,-3,0001---,~,010--,-0.15625,8.0xF6p
247,11110111,10001001,-3,1,-3,0001---,~,001--,-0.140625,8.0xF7p
248,11111000,10001000,-3,1,-3,0001---,~,000--,-0.125,8.0xF8p
249,11111001,10000111,-4,1,-4,00001--,~,11---,-0.109375,8.0xF9p
250,11111010,10000110,-4,1,-4,00001--,~,10---,-0.09375,8.0xFAp
251,11111011,10000101,-4,1,-4,00001--,~,01---,-0.078125,8.0xFBp
252,11111100,10000100,-4,1,-4,00001--,~,00---,-0.0625,8.0xFCp
253,11111101,10000011,-5,1,-5,000001-,~,1----,-0.046875,8.0xFDp
254,11111110,10000010,-5,1,-5,000001-,~,0----,-0.03125,8.0xFEp
255,11111111,10000001,-6,1,-6,0000001,~,-----,-0.015625,8.0xFFp

"Generate Posit Lookup table for a POSIT<8,1> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000000,00000000,-7,0,-12,0000000,-,----,0,8.1x00p
1,00000001,00000001,-6,0,-12,0000001,-,----,0.000244140625,8.1x01p
2,00000010,00000010,-5,0,-10,000001-,0,----,0.0009765625,8.1x02p
3,00000011,00000011,-5,0,-9,000001-,1,----,0.001953125,8.1x03p
4,00000100,00000100,-4,0,-8,00001--,0,0---,0.00390625,8.1x04p
5,00000101,00000101,-4,0,-8,00001--,0,1---,0.005859375,8.1x05p
6,00000110,00000110,-4,0,-7,00001--,1,0---,0.0078125,8.1x06p
7,00000111,00000111,-4,0,-7,00001--,1,1---,0.01171875,8.1x07p
8,00001000,00001000,-3,0,-6,0001---,0,00--,0.015625,8.1x08p
9,00001001,00001001,-3,0,-6,0001---,0,01--,0.01953125,8.1x09p
10,00001010,00001010,-3,0,-6,0001---,0,10--,0.0234375,8.1x0Ap
11,00001011,00001011,-3,0,-6,0001---,0,11--,0.02734375,8.1x0Bp
12,00001100,00001100,-3,0,-5,0001---,1,00--,0.03125,8.1x0Cp
13,00001101,00001101,-3,0,-5,0001---,1,01--,0.0390625,8.1x0Dp
14,00001110,00001110,-3,0,-5,0001---,1,10--,0.046875,8.1x0Ep
15,00001111,00001111,-3,0,-5,0001---,1,11--,0.0546875,8.1x0Fp
16,00010000,00010000,-2,0,-4,001----,0,000-,0.0625,8.1x10p
17,00010001,00010001,-2,0,-4,001----,0,001-,0.0703125,8.1x11p
18,00010010,00010010,-2,0,-4,001----,0,010-,0.078125,8.1x12p
19,00010011,00010011,-2,0,-4,001----,0,011-,0.0859375,8.1x13p
20,00010100,00010100,-2,0,-4,001----,0,100-,0.09375,8.1x14p
21,00010101,00010101,-2,0,-4,001----,0,101-,0.1015625,8.1x15p
22,00010110,00010110,-2,0,-4,001----,0,110-,0.109375,8.1x16p
23,00010111,00010111,-2,0,-4,001----,0,111-,0.1171875,8.1x17p
24,00011000,00011000,-2,0,-3,001----,1,000-,0.125,8.1x18p
25,00011001,00011001,-2,0,-3,001----,1,001-,0.140625,8.1x19p
26,00011010,00011010,-2,0,-3,001----,1,010-,0.15625,8.1x1Ap
27,00011011,00011011,-2,0,-3,001----,1,011-,0.171875,8.1x1Bp
